accm_txn_complete_time,h_id,dateAdded,dateUpdated,Price_per_night,no_of_reserved_rooms,totalAmount,Copy_of_HotelCategoryID,Copy_of_hotel_name,InsertDate,ModifiedDate,accm_txn_create_time,txn_process_time_hours,ReviewSK
07/01/2024 00:45,1,19/04/2024,22/04/2024,162.01,4,648.04,106,Peterson-Ruiz Hotel,19/04/2024,22/04/2024,06/01/2024 20:31,4.23,1140
16/12/2024 18:56,2,05/03/2024,12/03/2024,121.25,3,363.75,111,Garrison Ltd Hotel,05/03/2024,12/03/2024,16/12/2024 16:37,2.33,1713
19/03/2024 11:00,3,08/02/2024,20/02/2024,266.94,2,533.88,108,Rush-Padilla Hotel,08/02/2024,20/02/2024,19/03/2024 05:32,5.46,1006
08/03/2024 12:58,4,11/11/2024,26/11/2024,350.32,3,1050.96,118,Duffy LLC Hotel,11/11/2024,26/11/2024,08/03/2024 08:22,4.61,1501
29/04/2024 14:32,5,21/10/2024,20/11/2024,361.46,3,1084.38,114,"Lopez, Morris and Jackson Hotel",21/10/2024,20/11/2024,29/04/2024 09:56,4.61,1760
28/07/2024 20:18,6,14/06/2024,11/07/2024,471.92,5,2359.6,103,Scott-Jackson Hotel,14/06/2024,11/07/2024,28/07/2024 14:56,5.36,1100
28/12/2024 06:14,7,09/03/2024,07/04/2024,64.99,4,259.96,110,"Price, Miller and Lee Hotel",09/03/2024,07/04/2024,28/12/2024 02:30,3.73,1602
03/03/2024 18:22,8,03/01/2025,24/01/2025,56.8,3,170.4,109,Phillips and Sons Hotel,03/01/2025,24/01/2025,03/03/2024 12:39,5.72,1937
04/06/2024 02:52,9,13/10/2024,16/10/2024,420.93,1,420.93,102,Robinson-Mitchell Hotel,13/10/2024,16/10/2024,03/06/2024 23:31,3.34,1512
30/08/2024 20:52,10,05/03/2025,11/03/2025,70.92,2,141.84,104,Benton PLC Hotel,05/03/2025,11/03/2025,30/08/2024 15:20,5.53,1450
07/11/2024 12:30,11,03/08/2024,25/08/2024,72.18,2,144.36,119,Hall-Wang Hotel,03/08/2024,25/08/2024,07/11/2024 11:07,1.38,1719
13/02/2024 21:33,12,11/07/2024,10/08/2024,195.77,5,978.85,112,"Herrera, Harris and Key Hotel",11/07/2024,10/08/2024,13/02/2024 17:21,4.2,1385
06/12/2024 17:54,13,01/04/2025,24/04/2025,195.47,1,195.47,102,"Lane, Ruiz and Reyes Hotel",01/04/2025,24/04/2025,06/12/2024 13:16,4.64,1845
29/03/2025 03:47,14,28/03/2024,23/04/2024,75.76,5,378.8,114,Harris Inc Hotel,28/03/2024,23/04/2024,29/03/2025 02:11,1.59,1833
26/10/2024 02:22,15,25/04/2024,22/05/2024,190.73,5,953.65,116,Morris PLC Hotel,25/04/2024,22/05/2024,25/10/2024 21:19,5.04,1535
25/01/2024 07:07,16,12/03/2025,31/03/2025,195.84,2,391.68,110,Bradley-Camacho Hotel,12/03/2025,31/03/2025,25/01/2024 05:14,1.87,1263
24/03/2024 18:36,17,10/01/2024,28/01/2024,341.52,4,1366.08,119,Potter LLC Hotel,10/01/2024,28/01/2024,24/03/2024 16:50,1.78,1239
25/12/2024 20:44,18,20/03/2025,26/03/2025,221.29,2,442.58,115,Jones-Newton Hotel,20/03/2025,26/03/2025,25/12/2024 15:50,4.91,1493
08/12/2024 18:16,19,15/03/2025,24/03/2025,483.5,2,967,113,Taylor-Chavez Hotel,15/03/2025,24/03/2025,08/12/2024 16:14,2.03,1269
20/04/2024 02:02,20,07/03/2025,01/04/2025,445.63,5,2228.15,112,"Garcia, Morales and Rice Hotel",07/03/2025,01/04/2025,20/04/2024 00:42,1.33,1572
18/01/2025 22:53,21,23/06/2024,11/07/2024,356.61,4,1426.44,114,Mcgrath PLC Hotel,23/06/2024,11/07/2024,18/01/2025 20:38,2.25,1542
02/06/2024 22:12,22,16/10/2024,05/11/2024,386.24,5,1931.2,102,Stephenson-Gibbs Hotel,16/10/2024,05/11/2024,02/06/2024 20:50,1.36,1375
01/12/2024 08:43,23,21/11/2024,11/12/2024,486.27,5,2431.35,112,Knox PLC Hotel,21/11/2024,11/12/2024,01/12/2024 03:49,4.89,1784
